Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: border,Spreadsheet: Screen,Spreadsheet: timing,Manipulation: Spreadsheet
1,1736878921254,14/01/2025 18:22:01,1736857321254,-6,14/01/2025 06:22:01,153647,19,task-wzke,repeat-3dmk#1,42475063,BLIND,12393674,,complete,,6786aaf2bf26d11963bdaad8,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x695,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,
2,1736878938559,14/01/2025 18:22:18,1736857338559,-6,14/01/2025 06:22:18,153647,19,task-wzke,repeat-3dmk#1,42475063,BLIND,12393674,,complete,,6786aaf2bf26d11963bdaad8,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x695,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 1,djhvrt,1,continue,,16707.59999997616,16700.100000000002,16707.59999997616,16707.59999997616,16700.100000000002,16707.59999997616,1,16707.59999997616,0,0,,Click To Continue,Continue Button,6,object-20,instructions,,,,,,
3,1736878947310,14/01/2025 18:22:27,1736857347310,-6,14/01/2025 06:22:27,153647,19,task-wzke,repeat-3dmk#1,42475063,BLIND,12393674,,complete,,6786aaf2bf26d11963bdaad8,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x695,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,2,continue,,8757.099999999999,8742.099999999999,8757.099999999999,8757.099999999999,8742.099999999999,8757.099999999999,1,8757.099999999999,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,
4,1736878950298,14/01/2025 18:22:30,1736857350298,-6,14/01/2025 06:22:30,153647,19,task-wzke,repeat-3dmk#1,42475063,BLIND,12393674,,complete,,6786aaf2bf26d11963bdaad8,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x695,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,3,timedOut,,3003.3000000715256,3002.9000000000015,3003.3000000715256,3003.3000000715256,3002.9000000000015,3003.3000000715256,1,3003.3000000715256,0,0,,Time Limit,screen,0,screen,instructions,,,,,,
5,1736878951299,14/01/2025 18:22:31,1736857351299,-6,14/01/2025 06:22:31,153647,19,task-wzke,repeat-3dmk#1,42475063,BLIND,12393674,,complete,,6786aaf2bf26d11963bdaad8,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x695,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,J,1001,1001,1001,1001,1001,1001,0,1001,0,0,,Time Limit,screen,0,screen,image,F,instr_photo.jpg,#FF69B4,,1000ms,
6,1736878952283,14/01/2025 18:22:32,1736857352283,-6,14/01/2025 06:22:32,153647,19,task-wzke,repeat-3dmk#1,42475063,BLIND,12393674,,complete,,6786aaf2bf26d11963bdaad8,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x695,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 2,2al84i,2,continue,,500.5,500.5,500.5,500.5,500.5,500.5,1,500.5,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo.jpg,#FF69B4,,1000ms,
7,1736878953126,14/01/2025 18:22:33,1736857353126,-6,14/01/2025 06:22:33,153647,19,task-wzke,repeat-3dmk#1,42475063,BLIND,12393674,,complete,,6786aaf2bf26d11963bdaad8,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x695,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,2,image,Trials,mxeghn,1,response,F,843.0000000476866,834.2000000000044,843.0000000476866,843.0000000476866,834.2000000000044,843.0000000476866,1,843.0000000476866,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,F,instr_photo_2.jpg,#DC143C,,1000ms,
8,1736878954118,14/01/2025 18:22:34,1736857354118,-6,14/01/2025 06:22:34,153647,19,task-wzke,repeat-3dmk#1,42475063,BLIND,12393674,,complete,,6786aaf2bf26d11963bdaad8,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x695,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,2,image,Screen 2,2al84i,2,continue,,500.5,500.5,500.5,500.5,500.5,500.5,1,500.5,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo_2.jpg,#DC143C,,1000ms,
9,1736878955119,14/01/2025 18:22:35,1736857355119,-6,14/01/2025 06:22:35,153647,19,task-wzke,repeat-3dmk#1,42475063,BLIND,12393674,,complete,,6786aaf2bf26d11963bdaad8,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x695,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,3,image,Trials,mxeghn,1,response,J,1001,1001,1001,1001,1001,1001,0,1001,0,0,,Time Limit,screen,0,screen,image,F,instr_photo_3.jpg,#E2752C,,1000ms,
10,1736878956103,14/01/2025 18:22:36,1736857356103,-6,14/01/2025 06:22:36,153647,19,task-wzke,repeat-3dmk#1,42475063,BLIND,12393674,,complete,,6786aaf2bf26d11963bdaad8,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x695,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,3,image,Screen 2,2al84i,2,continue,,500.5,500.5,500.5,500.5,500.5,500.5,1,500.5,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo_3.jpg,#E2752C,,1000ms,
