Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Manipulation: Spreadsheet
1,1726678766907,18/09/2024 16:59:26,1726660766907,-5,18/09/2024 06:59:26,187004,3,task-i3u4,repeat-3dmk#1->-repeat-tj2w#1,40145031,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Memory Task (instr only),5,Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1726678779831,18/09/2024 16:59:39,1726660779831,-5,18/09/2024 06:59:39,187004,3,task-i3u4,repeat-3dmk#1->-repeat-tj2w#1,40145031,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Memory Task (instr only),5,Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,12256.1,12249.500000000002,12256.1,12256.1,12249.500000000002,12256.1,1,12256.1,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1726678792771,18/09/2024 16:59:52,1726660792771,-5,18/09/2024 06:59:52,187004,3,task-i3u4,repeat-3dmk#1->-repeat-tj2w#1,40145031,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Memory Task (instr only),5,Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,12947.400000071524,12932.699999999997,12947.400000071524,12947.400000071524,12932.699999999997,12947.400000071524,1,12947.400000071524,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
4,1726678795323,18/09/2024 16:59:55,1726660795323,-5,18/09/2024 06:59:55,187004,3,task-i3u4,repeat-3dmk#1->-repeat-tj2w#1,40145031,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Memory Task (instr only),5,Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 4,8hhdnx,3,continue,,2566.300000000003,2549.800000000003,2566.300000000003,2566.300000000003,2549.800000000003,2566.300000000003,1,2566.300000000003,0,0,,Click To Continue,Text,10,object-80,instructions,,,,,,,
5,1726678801377,18/09/2024 17:00:01,1726660801377,-5,18/09/2024 07:00:01,187004,3,task-i3u4,repeat-3dmk#1->-repeat-tj2w#1,40145031,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Memory Task (instr only),5,Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 6,5bug7j,4,continue,,6071.0999999999985,6066.5999999999985,6071.0999999999985,6071.0999999999985,6066.5999999999985,6071.0999999999985,1,6071.0999999999985,0,0,,Click To Continue,Text,10,object-108,instructions,,,,,,,
6,1726678804189,18/09/2024 17:00:04,1726660804189,-5,18/09/2024 07:00:04,187004,3,task-i3u4,repeat-3dmk#1->-repeat-tj2w#1,40145031,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Memory Task (instr only),5,Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,2816.199999999997,2799.699999999997,2816.199999999997,2816.199999999997,2799.699999999997,2816.199999999997,1,2816.199999999997,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
7,1726678804192,18/09/2024 17:00:04,1726660804192,-5,18/09/2024 07:00:04,187004,3,task-i3u4,repeat-3dmk#1->-repeat-tj2w#1,40145031,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Memory Task (instr only),5,Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1726678864242,18/09/2024 17:01:04,1726660864242,-5,18/09/2024 07:01:04,187004,3,task-i3u4,repeat-3dmk#1->-repeat-tj2w#2,40145061,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Memory Task (instr only),5,Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1726678865868,18/09/2024 17:01:05,1726660865868,-5,18/09/2024 07:01:05,187004,3,task-i3u4,repeat-3dmk#1->-repeat-tj2w#2,40145061,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Memory Task (instr only),5,Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,1613.2999999761582,1599.9,1613.2999999761582,1613.2999999761582,1599.9,1613.2999999761582,1,1613.2999999761582,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1726678874459,18/09/2024 17:01:14,1726660874459,-5,18/09/2024 07:01:14,187004,3,task-i3u4,repeat-3dmk#1->-repeat-tj2w#2,40145061,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Memory Task (instr only),5,Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,8603.899999976158,8599.7,8603.899999976158,8603.899999976158,8599.7,8603.899999976158,1,8603.899999976158,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
4,1726678882943,18/09/2024 17:01:22,1726660882943,-5,18/09/2024 07:01:22,187004,3,task-i3u4,repeat-3dmk#1->-repeat-tj2w#2,40145061,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Memory Task (instr only),5,Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 4,8hhdnx,3,continue,,8488.500000047683,8483.2,8488.500000047683,8488.500000047683,8483.2,8488.500000047683,1,8488.500000047683,0,0,,Click To Continue,Text,10,object-80,instructions,,,,,,,
5,1726678900567,18/09/2024 17:01:40,1726660900567,-5,18/09/2024 07:01:40,187004,3,task-i3u4,repeat-3dmk#1->-repeat-tj2w#2,40145061,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Memory Task (instr only),5,Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 6,5bug7j,4,continue,,17628.999999976157,17615.699999999997,17628.999999976157,17628.999999976157,17615.699999999997,17628.999999976157,1,17628.999999976157,0,0,,Click To Continue,Text,10,object-108,instructions,,,,,,,
6,1726678902505,18/09/2024 17:01:42,1726660902505,-5,18/09/2024 07:01:42,187004,3,task-i3u4,repeat-3dmk#1->-repeat-tj2w#2,40145061,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Memory Task (instr only),5,Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,1951.1999999523177,1933.9000000000015,1951.1999999523177,1951.1999999523177,1933.9000000000015,1951.1999999523177,1,1951.1999999523177,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
7,1726678902506,18/09/2024 17:01:42,1726660902506,-5,18/09/2024 07:01:42,187004,3,task-i3u4,repeat-3dmk#1->-repeat-tj2w#2,40145061,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Memory Task (instr only),5,Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1726678951335,18/09/2024 17:02:31,1726660951335,-5,18/09/2024 07:02:31,187004,3,task-i3u4,repeat-3dmk#1->-repeat-tj2w#3,40145091,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Memory Task (instr only),5,Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1726678968636,18/09/2024 17:02:48,1726660968636,-5,18/09/2024 07:02:48,187004,3,task-i3u4,repeat-3dmk#1->-repeat-tj2w#3,40145091,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Memory Task (instr only),5,Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,17285.199999976157,17282.7,17285.199999976157,17285.199999976157,17282.7,17285.199999976157,1,17285.199999976157,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1726678970076,18/09/2024 17:02:50,1726660970076,-5,18/09/2024 07:02:50,187004,3,task-i3u4,repeat-3dmk#1->-repeat-tj2w#3,40145091,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Memory Task (instr only),5,Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,1442.4000000715241,1433.199999999997,1442.4000000715241,1442.4000000715241,1433.199999999997,1442.4000000715241,1,1442.4000000715241,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
4,1726678970703,18/09/2024 17:02:50,1726660970703,-5,18/09/2024 07:02:50,187004,3,task-i3u4,repeat-3dmk#1->-repeat-tj2w#3,40145091,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Memory Task (instr only),5,Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 4,8hhdnx,3,continue,,636.1000000476852,633.4000000000015,636.1000000476852,636.1000000476852,633.4000000000015,636.1000000476852,1,636.1000000476852,0,0,,Click To Continue,Text,10,object-80,instructions,,,,,,,
5,1726678971287,18/09/2024 17:02:51,1726660971287,-5,18/09/2024 07:02:51,187004,3,task-i3u4,repeat-3dmk#1->-repeat-tj2w#3,40145091,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Memory Task (instr only),5,Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 6,5bug7j,4,continue,,586.7000000476837,583.2000000000007,586.7000000476837,586.7000000476837,583.2000000000007,586.7000000476837,1,586.7000000476837,0,0,,Click To Continue,Continue Button,3,object-100,instructions,,,,,,,
6,1726678971786,18/09/2024 17:02:51,1726660971786,-5,18/09/2024 07:02:51,187004,3,task-i3u4,repeat-3dmk#1->-repeat-tj2w#3,40145091,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Memory Task (instr only),5,Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,502.40000002384113,500,502.40000002384113,502.40000002384113,500,502.40000002384113,1,502.40000002384113,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
7,1726678971786,18/09/2024 17:02:51,1726660971786,-5,18/09/2024 07:02:51,187004,3,task-i3u4,repeat-3dmk#1->-repeat-tj2w#3,40145091,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Memory Task (instr only),5,Accurate,2,,Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1726680160405,18/09/2024 17:22:40,1726665760405,-4,18/09/2024 09:22:40,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,40145558,BLIND,11716968,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 130.0,1707x960,1706x827,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Accurate,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1726680166916,18/09/2024 17:22:46,1726665766916,-4,18/09/2024 09:22:46,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,40145558,BLIND,11716968,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 130.0,1707x960,1706x827,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,6356.52,6351.960000000001,6356.52,6356.52,6351.960000000001,6356.52,1,6356.52,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1726680188810,18/09/2024 17:23:08,1726665788810,-4,18/09/2024 09:23:08,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,40145558,BLIND,11716968,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 130.0,1707x960,1706x827,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,21898.559999999998,21896.32,21898.559999999998,21898.559999999998,21896.32,21898.559999999998,1,21898.559999999998,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
4,1726680194592,18/09/2024 17:23:14,1726665794592,-4,18/09/2024 09:23:14,187004,3,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,40145558,BLIND,11716968,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 130.0,1707x960,1706x827,,,0,Memory Task (instr only),5,Inaccurate~Accurate,2,,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 4,8hhdnx,3,continue,,5784.240000000002,5781.759999999998,5784.240000000002,5784.240000000002,5781.759999999998,5784.240000000002,1,5784.240000000002,0,0,,Click To Continue,Text,10,object-80,instructions,,,,,,,
